2629112
0	11	0
1	13	0
2	15	0
3	17	0
4	19	0
5	21	0
6	23	0
7	25	0
8	27	0
9	29	0
10	31	0
11	33	0
12	10	1
13	12	1
14	14	1
15	16	1
16	18	1
17	20	1
18	22	1
19	24	1
20	26	1
21	28	1
22	30	1
23	32	1
24	34	1
25	36	1
26	9	2
27	11	2
28	13	2
29	15	2
30	17	2
31	19	2
32	21	2
33	23	2
34	25	2
35	27	2
36	29	2
37	31	2
38	33	2
39	35	2
40	37	2
41	8	3
42	10	3
43	12	3
44	14	3
45	16	3
46	18	3
47	20	3
48	22	3
49	24	3
50	26	3
51	28	3
52	30	3
53	32	3
54	34	3
55	36	3
56	38	3
57	7	4
58	9	4
59	11	4
60	13	4
61	15	4
62	17	4
63	19	4
64	21	4
65	23	4
66	25	4
67	27	4
68	29	4
69	31	4
70	33	4
71	35	4
72	37	4
73	39	4
74	6	5
75	8	5
76	10	5
77	12	5
78	14	5
79	16	5
80	18	5
81	20	5
82	22	5
83	24	5
84	26	5
85	28	5
86	30	5
87	32	5
88	34	5
89	36	5
90	38	5
91	40	5
92	5	6
93	7	6
94	9	6
95	11	6
96	13	6
97	15	6
98	17	6
99	19	6
100	21	6
101	23	6
102	25	6
103	27	6
104	29	6
105	31	6
106	33	6
107	35	6
108	37	6
109	39	6
110	41	6
111	4	7
112	6	7
113	8	7
114	10	7
115	12	7
116	14	7
117	16	7
118	18	7
119	20	7
120	22	7
121	24	7
122	26	7
123	28	7
124	30	7
125	32	7
126	34	7
127	36	7
128	38	7
129	40	7
130	42	7
131	3	8
132	5	8
133	7	8
134	9	8
135	11	8
136	13	8
137	15	8
138	17	8
139	19	8
140	21	8
141	23	8
142	25	8
143	27	8
144	29	8
145	31	8
146	33	8
147	35	8
148	37	8
149	39	8
150	41	8
151	43	8
152	2	9
153	4	9
154	6	9
155	8	9
156	10	9
157	12	9
158	14	9
159	16	9
160	18	9
161	20	9
162	22	9
163	24	9
164	26	9
165	28	9
166	30	9
167	32	9
168	34	9
169	36	9
170	38	9
171	40	9
172	42	9
173	44	9
174	1	10
175	3	10
176	5	10
177	7	10
178	9	10
179	11	10
180	13	10
181	15	10
182	17	10
183	19	10
184	21	10
185	23	10
186	25	10
187	27	10
188	29	10
189	31	10
190	33	10
191	35	10
192	37	10
193	39	10
194	41	10
195	43	10
196	45	10
197	0	11
198	2	11
199	4	11
200	6	11
201	8	11
202	10	11
203	12	11
204	14	11
205	16	11
206	18	11
207	20	11
208	22	11
209	24	11
210	26	11
211	28	11
212	30	11
213	32	11
214	34	11
215	36	11
216	38	11
217	40	11
218	42	11
219	44	11
220	46	11
221	1	12
222	3	12
223	5	12
224	7	12
225	9	12
226	11	12
227	13	12
228	15	12
229	17	12
230	19	12
231	21	12
232	23	12
233	25	12
234	27	12
235	29	12
236	31	12
237	33	12
238	35	12
239	37	12
240	39	12
241	41	12
242	43	12
243	45	12
244	0	13
245	2	13
246	4	13
247	6	13
248	8	13
249	10	13
250	12	13
251	14	13
252	16	13
253	18	13
254	20	13
255	22	13
256	24	13
257	26	13
258	28	13
259	30	13
260	32	13
261	34	13
262	36	13
263	38	13
264	40	13
265	42	13
266	44	13
267	46	13
268	1	14
269	3	14
270	5	14
271	7	14
272	9	14
273	11	14
274	13	14
275	15	14
276	17	14
277	19	14
278	21	14
279	23	14
280	25	14
281	27	14
282	29	14
283	31	14
284	33	14
285	35	14
286	37	14
287	39	14
288	41	14
289	43	14
290	45	14
291	2	15
292	4	15
293	6	15
294	8	15
295	10	15
296	12	15
297	14	15
298	16	15
299	18	15
300	20	15
301	22	15
302	24	15
303	26	15
304	28	15
305	30	15
306	32	15
307	34	15
308	36	15
309	38	15
310	40	15
311	42	15
312	44	15
313	3	16
314	5	16
315	7	16
316	9	16
317	11	16
318	13	16
319	15	16
320	17	16
321	19	16
322	21	16
323	23	16
324	25	16
325	27	16
326	29	16
327	31	16
328	33	16
329	35	16
330	37	16
331	39	16
332	41	16
333	43	16
334	4	17
335	6	17
336	8	17
337	10	17
338	12	17
339	14	17
340	16	17
341	18	17
342	20	17
343	22	17
344	24	17
345	26	17
346	28	17
347	30	17
348	32	17
349	34	17
350	36	17
351	38	17
352	40	17
353	42	17
354	5	18
355	7	18
356	9	18
357	11	18
358	13	18
359	15	18
360	17	18
361	19	18
362	21	18
363	23	18
364	25	18
365	27	18
366	29	18
367	31	18
368	33	18
369	35	18
370	37	18
371	39	18
372	41	18
373	6	19
374	8	19
375	10	19
376	12	19
377	14	19
378	16	19
379	18	19
380	20	19
381	22	19
382	24	19
383	26	19
384	28	19
385	30	19
386	32	19
387	34	19
388	36	19
389	38	19
390	40	19
391	7	20
392	9	20
393	11	20
394	13	20
395	15	20
396	17	20
397	19	20
398	21	20
399	23	20
400	25	20
401	27	20
402	29	20
403	31	20
404	33	20
405	35	20
406	37	20
407	39	20
408	8	21
409	10	21
410	12	21
411	14	21
412	16	21
413	18	21
414	20	21
415	22	21
416	24	21
417	26	21
418	28	21
419	30	21
420	32	21
421	34	21
422	36	21
423	38	21
424	9	22
425	11	22
426	13	22
427	15	22
428	17	22
429	19	22
430	21	22
431	23	22
432	25	22
433	27	22
434	29	22
435	31	22
436	33	22
437	35	22
438	37	22
439	10	23
440	12	23
441	14	23
442	16	23
443	18	23
444	20	23
445	22	23
446	24	23
447	26	23
448	28	23
449	30	23
450	32	23
451	34	23
452	36	23
453	13	24
454	15	24
455	17	24
456	19	24
457	21	24
458	23	24
459	25	24
460	27	24
461	29	24
462	31	24
463	33	24
464	0	0
465	2	0
466	4	0
467	6	0
468	40	0
469	42	0
470	44	0
471	46	0
